"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"LAMPRELL";"GB00B1CL5249";"LAMl";"NYSE Arca Europe";"GBX";"141,00";"141,00";"141,00";"141,00";"11/07/2013 14:15";"CET";"200";"28200,00"
"LANCASHIRE HOLDING";"BMG5361W1047";"LREl";"NYSE Arca Europe";"GBX";"778,00";"778,00";"777,00";"777,00";"07/08/2013 13:41";"CET";"232";"180364,00"
"LAND SEC GRP REIT";"GB0031809436";"LANDl";"NYSE Arca Europe";"GBX";"991,50";"991,50";"991,50";"991,50";"30/10/2013 11:02";"CET";"200";"198300,00"
"LANDI RENZO";"IT0004210289";"LRm";"NYSE Arca Europe";"EUR";"2,105";"2,115";"2,105";"2,115";"13/07/2011 13:35";"CET";"6456";"-"
"LANSON-BCC";"FR0004027068";"LAN";"NYSE Euronext Paris";"EUR";"32,38";"32,38";"31,51";"32,17";"01/11/2013 17:28";"CET";"552";"17656,95"
"LANXESS";"DE0005470405";"LXSd";"NYSE Arca Europe";"EUR";"47,90";"47,90";"47,90";"47,90";"22/08/2013 09:36";"CET";"50";"2395,00"
"LAURENT-PERRIER";"FR0006864484";"LPE";"NYSE Euronext Paris";"EUR";"68,82";"68,90";"68,71";"68,72";"01/11/2013 17:35";"CET";"296";"20362,95"
"LAVIDE HOLDING";"NL0010545679";"LVIDE";"NYSE Euronext Amsterdam";"EUR";"4,001";"4,011";"4,001";"4,011";"01/11/2013 14:30";"CET";"7";"28,03"
"LAW DEBENTURE CORP";"GB0031429219";"LWDBl";"NYSE Arca Europe";"GBX";"499,10";"499,10";"499,10";"499,10";"06/08/2013 15:27";"CET";"100";"49910,00"
"LDC";"FR0000053829";"LOUP";"NYSE Euronext Paris";"EUR";"118,60";"118,61";"118,24";"118,24";"01/11/2013 10:52";"CET";"161";"19058,38"
"LDLC.COM";"FR0000075442";"LDL";"NYSE Euronext Paris";"EUR";"12,20";"12,55";"12,20";"12,55";"01/11/2013 17:35";"CET";"2070";"25602,46"
"LE NOBLE AGE";"FR0004170017";"LNA";"NYSE Euronext Paris";"EUR";"13,59";"13,62";"13,30";"13,54";"01/11/2013 17:35";"CET";"1625";"21903,35"
"LE TANNEUR";"FR0000075673";"LTAN";"NYSE Euronext Paris";"EUR";"7,20";"7,20";"7,20";"7,20";"01/11/2013 16:30";"CET";"200";"1440,00"
"LEADERLEASE";"FR0010921163";"MLLEA";"Marché Libre Paris";"EUR";"1,60";"1,60";"1,60";"1,60";"23/09/2013 15:00";"CET";"100";"160,00"
"LEADMEDIA";"FR0011053636";"ALLMG";"NYSE Alternext Paris";"EUR";"7,15";"7,15";"7,03";"7,03";"01/11/2013 17:35";"CET";"1190";"8406,39"
"LEASINVEST-SICAFI";"BE0003770840";"LEAS";"NYSE Euronext Brussels";"EUR";"73,50";"73,58";"72,72";"73,50";"01/11/2013 17:35";"CET";"757";"55598,63"
"LEBON";"FR0000121295";"LBON";"NYSE Euronext Paris";"EUR";"108,02";"108,02";"108,01";"108,01";"01/11/2013 16:30";"CET";"273";"29488,16"
"LECTEURS MONDE";"FR0000034779";"MLLEM";"Marché Libre Paris";"EUR";"1,19";"1,19";"1,19";"1,19";"28/10/2013 15:00";"CET";"520";"618,80"
"LECTRA";"FR0000065484";"LSS";"NYSE Euronext Paris";"EUR";"6,91";"6,92";"6,85";"6,85";"01/11/2013 17:35";"CET";"12444";"85590,82"
"LEGAL&GENERAL GRP";"GB0005603997";"LGENl";"NYSE Arca Europe";"GBX";"198,00";"198,70";"198,00";"198,70";"15/08/2013 17:29";"CET";"178";"35297,20"
"LEGRAND";"FR0010307819";"LR";"NYSE Euronext Paris";"EUR";"41,975";"42,005";"41,40";"41,80";"01/11/2013 17:35";"CET";"322159";"13459173,47"
"LEGUIDE.COM";"FR0010146092";"ALGUI";"NYSE Alternext Paris";"EUR";"30,24";"30,50";"30,24";"30,50";"01/11/2013 11:27";"CET";"351";"10705,24"
"LENZING";"AT0000644505";"LNZv";"NYSE Arca Europe";"EUR";"71,71";"71,71";"71,71";"71,71";"18/07/2012 17:19";"CET";"20";"1434,20"
"LEO CAPITAL GROWTH";"IE00B5WK6265";"LEOA";"NYSE Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LEON GROSSE";"FR0005717626";"MLLEO";"Marché Libre Paris";"EUR";"980,00";"980,00";"980,00";"980,00";"01/11/2013 15:00";"CET";"4";"3920,00"
"LEONI";"DE0005408884";"LEOd";"NYSE Arca Europe";"EUR";"41,50";"41,735";"41,50";"41,735";"15/08/2013 17:29";"CET";"165";"6852,075"
"LES HOTELS BAVEREZ";"FR0007080254";"ALLHB";"NYSE Alternext Paris";"EUR";"43,00";"43,00";"43,00";"43,00";"01/11/2013 15:30";"CET";"120";"5160,00"
"LESNXCONSTRUCTEURS";"FR0004023208";"LNC";"NYSE Euronext Paris";"EUR";"9,26";"9,35";"9,25";"9,25";"01/11/2013 11:49";"CET";"485";"4491,56"
"LETS GOWEX";"ES0158252033";"ALGOW";"NYSE Alternext Paris";"EUR";"9,36";"9,63";"9,35";"9,59";"01/11/2013 17:26";"CET";"23755";"225859,89"
"LEXIBOOK LINGUIST.";"FR0000033599";"LEX";"NYSE Euronext Paris";"EUR";"5,02";"5,14";"4,96";"5,10";"01/11/2013 17:35";"CET";"43811";"222632,12"
"LILLY AND CO";"US5324571083";"LLY";"NYSE Euronext Paris";"EUR";"39,55";"39,55";"39,55";"39,55";"26/09/2013 13:31";"CET";"100";"3955,00"
"LINDE";"DE0006483001";"LINd";"NYSE Arca Europe";"EUR";"140,05";"140,05";"139,60";"140,00";"01/11/2013 17:09";"CET";"980";"137106,00"
"LINDT & SPRUENGLI";"CH0010570759";"LISNz";"NYSE Arca Europe";"CHF";"-";"-";"-";"-";"-";"-";"-";"-"
"LINDT AND SPRUENGL";"CH0010570767";"LISPz";"NYSE Arca Europe";"CHF";"3006,00";"3006,00";"3006,00";"3006,00";"21/08/2012 17:07";"CET";"10";"30060,00"
"LINEDATA SERVICES";"FR0004156297";"LIN";"NYSE Euronext Paris";"EUR";"22,57";"22,60";"22,47";"22,60";"01/11/2013 17:35";"CET";"3048";"68623,07"
"LIONAX";"HK0000038429";"MLION";"Marché Libre Paris";"EUR";"0,06";"0,06";"0,06";"0,06";"29/10/2013 15:00";"CET";"19000";"1140,00"
"LISGRAFICA";"PTLIG0AE0002";"LIG";"NYSE Euronext Lisbon";"EUR";"0,02";"0,02";"0,02";"0,02";"01/11/2013 15:30";"GMT";"380";"7,60"
"LISI";"FR0000050353";"FII";"NYSE Euronext Paris";"EUR";"113,14";"114,50";"112,59";"113,46";"01/11/2013 17:35";"CET";"2205";"251257,62"
"LITHO FORMAS";"PTLIT0AE0005";"LIT";"Easynext Lisbon";"EUR";"0,42";"0,42";"0,42";"0,42";"22/10/2013 09:30";"GMT";"10";"4,20"
"LLOYDS BANKING GRP";"GB0008706128";"LLOYl";"NYSE Arca Europe";"GBX";"74,54";"74,54";"73,04";"73,04";"30/08/2013 16:28";"CET";"839";"61840,86"
"LOCASOLOG";"FR0004109668";"MLLCS";"Marché Libre Paris";"EUR";"4,40";"4,40";"4,40";"4,40";"18/02/2013 14:00";"CET";"19";"83,60"
"LOCASYSTEM INTL";"FR0004155208";"MLLOI";"Marché Libre Paris";"EUR";"6,10";"6,10";"6,10";"6,10";"12/09/2013 15:00";"CET";"241";"1470,10"
"LOCINDUS";"FR0000121352";"LD";"NYSE Euronext Paris";"EUR";"16,72";"17,36";"16,72";"17,30";"01/11/2013 16:38";"CET";"530";"9113,45"
"LOCKHEED MARTIN";"US5398301094";"LMTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"LOGIC INST BSAR";"FR0011398981";"LOGBS";"NYSE Alternext Paris";"EUR";"0,20";"0,20";"0,20";"0,20";"31/10/2013 13:58";"CET";"10238";"2047,60"
"LOGIC INSTRUMENT";"FR0000044943";"ALLOG";"NYSE Alternext Paris";"EUR";"1,68";"1,68";"1,65";"1,65";"01/11/2013 15:47";"CET";"2";"3,33"
"LOGIN P BSAR JUN16";"FR0011086685";"LPBSR";"NYSE Alternext Paris";"EUR";"1,90";"1,90";"1,90";"1,90";"18/10/2013 16:00";"CET";"500";"950,00"
"LOGIN P BSAR JUN17";"FR0011138783";"LBBS2";"NYSE Alternext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LOGIN PEOPLE";"FR0010581363";"ALLP";"NYSE Alternext Paris";"EUR";"2,50";"2,50";"2,50";"2,50";"01/11/2013 15:30";"CET";"1000";"2500,00"
"LOGIN PEOPLE BS";"FR0010662098";"LPBS";"NYSE Alternext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LOGITECH INTL";"CH0025751329";"LOGNz";"NYSE Arca Europe";"CHF";"6,66";"6,66";"6,66";"6,66";"19/02/2013 11:07";"CET";"296";"1971,36"
"LOMBARD ET MEDOT";"FR0006205019";"MLCAC";"Marché Libre Paris";"EUR";"13,42";"13,42";"13,42";"13,42";"28/10/2013 15:00";"CET";"60";"805,20"
"LONDON METRIC";"GB00B4WFW713";"LMPl";"NYSE Arca Europe";"GBX";"109,80";"109,80";"109,80";"109,80";"23/08/2013 16:54";"CET";"279";"30634,20"
"LONDON STOCK EXCH.";"GB00B0SWJX34";"LSEl";"NYSE Arca Europe";"GBX";"1567,00";"1590,00";"1567,00";"1590,00";"29/08/2013 13:48";"CET";"381";"599555,00"
"LONMIN";"GB0031192486";"LMIl";"NYSE Arca Europe";"GBX";"347,30";"347,30";"347,30";"347,30";"16/08/2013 11:58";"CET";"100";"34730,00"
"LONZA GROUP N";"CH0013841017";"LONNz";"NYSE Arca Europe";"CHF";"59,90";"59,90";"59,90";"59,90";"19/02/2013 09:24";"CET";"25";"1497,50"
"LOOK VOYAG.REDUCT.";"FR0000076721";"MLLOO";"Marché Libre Paris";"EUR";"0,08";"0,08";"0,08";"0,08";"28/10/2013 15:00";"CET";"648";"51,84"
"LOTUS BAKERIES";"BE0003604155";"LOTB";"NYSE Euronext Brussels";"EUR";"685,00";"685,00";"682,00";"684,50";"31/10/2013 17:35";"CET";"146";"99979,71"
"LOUVAIN NEUVE 1976";"BE0105067160";"LOUV";"NYSE Euronext Brussels";"EUR";"67,00";"67,00";"67,00";"67,00";"22/10/2013 15:00";"CET";"17";"1139,00"
"LOWE-S CO";"US5486611073";"LOWn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"LSK";"LU0834474271";"MLLSK";"Marché Libre Paris";"EUR";"14,35";"14,35";"14,35";"14,35";"01/11/2013 15:00";"CET";"60";"861,00"
"LUNDIN PETROLEUM";"SE0000825820";"LUPEs";"NYSE Arca Europe";"SEK";"148,60";"148,60";"148,60";"148,60";"20/02/2013 15:52";"CET";"71";"10550,60"
"LUX-AIRPORT CERT";"LU0092846210";"LUXA";"NYSE Euronext Brussels";"EUR";"85,00";"85,00";"85,00";"85,00";"31/10/2013 15:00";"CET";"600";"51000,00"
"LUXOTTICA GROUP";"IT0001479374";"LUXm";"NYSE Arca Europe";"EUR";"39,61";"39,61";"39,61";"39,61";"04/04/2013 13:09";"CET";"119";"4713,59"
"LV4S";"BE6201089735";"MLV4S";"Marché Libre Paris";"EUR";"10,97";"10,97";"10,97";"10,97";"22/10/2013 15:00";"CET";"1";"10,97"
"LVMH";"FR0000121014";"MC";"NYSE Euronext Paris";"EUR";"142,60";"142,60";"140,80";"141,20";"01/11/2013 17:35";"CET";"310728";"43938822,40"
"LYON POCHE PRESSE";"FR0000182503";"MLLYP";"Marché Libre Paris";"EUR";"0,27";"0,27";"0,27";"0,27";"11/10/2013 15:00";"CET";"350";"94,50"
"M.R.M";"FR0000060196";"MRM";"NYSE Euronext Paris";"EUR";"1,74";"1,74";"1,74";"1,74";"01/11/2013 11:30";"CET";"1";"1,74"
"M2I";"FR0010778050";"MLMII";"Marché Libre Paris";"EUR";"37,10";"37,10";"37,10";"37,10";"01/10/2009 15:00";"CET";"300";"-"
"MACHELEN CERT";"BE0003655660";"MAC";"NYSE Euronext Brussels";"EUR";"275,01";"275,01";"275,01";"275,01";"30/10/2013 15:00";"CET";"10";"2750,10"
"MACHELEN,KUUR.CERT";"BE0003596070";"MACK";"NYSE Euronext Brussels";"EUR";"305,00";"305,00";"305,00";"305,00";"28/10/2013 15:00";"CET";"5";"1525,00"
"MACINTOSH RETAIL";"NL0000367993";"MACIN";"NYSE Euronext Amsterdam";"EUR";"8,14";"8,21";"8,14";"8,21";"01/11/2013 17:11";"CET";"4663";"38018,15"
"MADE";"FR0010328302";"MLMAD";"Marché Libre Paris";"EUR";"3,60";"3,60";"3,60";"3,60";"31/10/2013 15:00";"CET";"1278";"4600,80"
"MAGILLEM";"FR0010827741";"MLMGL";"Marché Libre Paris";"EUR";"17,11";"17,11";"17,11";"17,11";"25/10/2013 15:00";"CET";"1";"17,11"
"MAGYAR TELEKOM";"HU0000073507";"MTELEt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"MAIS.ANTOINE BAUD";"FR0000061657";"MLMAB";"Marché Libre Paris";"EUR";"82,51";"82,51";"82,51";"82,51";"30/08/2013 15:00";"CET";"175";"14439,25"
"MAISONS D'AUJOURD'";"FR0010515742";"MLMAI";"Marché Libre Paris";"EUR";"2,40";"2,40";"2,40";"2,40";"28/10/2013 15:00";"CET";"115";"276,00"
"MAISONS FRANCE";"FR0004159473";"MFC";"NYSE Euronext Paris";"EUR";"27,21";"27,39";"27,21";"27,35";"01/11/2013 17:35";"CET";"2237";"61076,87"
"MAKHEIA GROUP";"FR0000072993";"ALMAK";"NYSE Alternext Paris";"EUR";"2,05";"2,10";"2,05";"2,10";"01/11/2013 14:04";"CET";"1911";"3921,05"
"MALTERIES FCO-BEL.";"FR0000030074";"MALT";"NYSE Euronext Paris";"EUR";"188,00";"188,00";"188,00";"188,00";"31/10/2013 16:30";"CET";"10";"1880,00"
"MAN";"DE0005937007";"MANd";"NYSE Arca Europe";"EUR";"85,98";"85,98";"85,98";"85,98";"15/08/2013 14:34";"CET";"60";"5158,80"
"MANAGEMENT & CAPIT";"IT0003955009";"MECm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MANDRIVA";"FR0004159382";"MLMAN";"Marché Libre Paris";"EUR";"0,14";"0,14";"0,14";"0,14";"29/07/2010 15:00";"CET";"3000";"-"
"MANITOU BF";"FR0000038606";"MTU";"NYSE Euronext Paris";"EUR";"13,94";"14,10";"13,80";"13,95";"01/11/2013 17:35";"CET";"5760";"80570,36"
"MANUTAN INTL";"FR0000032302";"MAN";"NYSE Euronext Paris";"EUR";"45,00";"45,00";"42,50";"44,58";"01/11/2013 17:21";"CET";"1086";"47575,17"
"MAPFRE";"ES0124244E34";"MAPe";"NYSE Arca Europe";"EUR";"2,22";"2,22";"2,22";"2,22";"26/11/2012 11:51";"CET";"270";"599,40"
"MARATHON OIL CORP";"US5658491064";"MROIL";"Traded not listed Amsterdam";"USD";"59,00";"59,00";"59,00";"59,00";"03/11/2005 05:00";"CET";"40";"-"
"MARCEL THIRY CERT";"BE0003664753";"MARC";"NYSE Euronext Brussels";"EUR";"9,50";"9,50";"9,50";"9,50";"31/10/2013 15:00";"CET";"19";"180,50"
"MARINE HARVEST";"NO0003054108";"MHGo";"NYSE Arca Europe";"NOK";"6,46";"6,46";"6,46";"6,46";"10/10/2013 09:15";"CET";"7500";"48450,00"
"MARKS & SPENC GRP";"GB0031274896";"MKSl";"NYSE Arca Europe";"GBX";"476,20";"478,60";"476,20";"478,60";"30/08/2013 15:25";"CET";"236";"112623,20"
"MAROC TELECOM";"MA0000011488";"IAM";"NYSE Euronext Paris";"EUR";"8,79";"8,79";"8,66";"8,75";"01/11/2013 17:35";"CET";"3655";"31780,56"
"MARR";"IT0003428445";"MARRm";"NYSE Arca Europe";"EUR";"7,91";"7,91";"7,91";"7,91";"09/05/2012 09:06";"CET";"99";"783,09"
"MARSTON-S";"GB00B1JQDM80";"MARSl";"NYSE Arca Europe";"GBX";"154,90";"154,90";"154,40";"154,40";"28/08/2013 17:25";"CET";"667";"103227,30"
"MARTIFER";"PTMFR0AM0003";"MAR";"NYSE Euronext Lisbon";"EUR";"0,65";"0,66";"0,64";"0,66";"01/11/2013 15:33";"GMT";"4472";"2894,08"
"MARTIN MAUREL(FIN)";"FR0006321998";"MLFMM";"Marché Libre Paris";"EUR";"1000,00";"1000,00";"1000,00";"1000,00";"10/04/2013 15:01";"CET";"102";"102000,00"
"MASTERCARD";"US57636Q1040";"MAn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MASTRAD";"FR0004155687";"ALMAS";"NYSE Alternext Paris";"EUR";"1,80";"1,90";"1,80";"1,89";"01/11/2013 17:23";"CET";"3917";"7311,03"
"MAUNA KEA TECH";"FR0010609263";"MKEA";"NYSE Euronext Paris";"EUR";"9,94";"10,08";"9,94";"10,02";"01/11/2013 17:35";"CET";"8457";"84535,28"
"MAUREL ET PROM";"FR0000051070";"MAU";"NYSE Euronext Paris";"EUR";"11,945";"11,975";"11,85";"11,935";"01/11/2013 17:35";"CET";"105058";"1253197,90"
"MAURELETPROMBS";"FR0010897082";"MAUBS";"NYSE Euronext Paris";"EUR";"0,142";"0,147";"0,142";"0,147";"01/11/2013 15:12";"CET";"94302";"13509,48"
"MAXIMILES";"FR0004174233";"ALMAX";"NYSE Alternext Paris";"EUR";"4,23";"4,24";"4,23";"4,24";"01/11/2013 17:05";"CET";"1616";"6842,68"
"MAYINLAY JEWELLERY";"HK0000052578";"MLMAY";"Marché Libre Paris";"EUR";"0,10";"0,10";"0,10";"0,10";"27/08/2013 15:00";"CET";"1400";"140,00"
"MAYR-MELNHOF KARTO";"AT0000938204";"MMKv";"NYSE Arca Europe";"EUR";"81,00";"81,00";"80,93";"80,93";"05/12/2012 14:49";"CET";"55";"25188,27"
"MC DONALD-S CORP";"US5801351017";"MCDn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MCBRIDE";"GB0005746358";"MCBl";"NYSE Arca Europe";"GBX";"131,50";"131,50";"131,50";"131,50";"27/08/2013 14:50";"CET";"1";"131,50"
"MCLS (D)";"BE0003863801";"MCLS";"Marché Libre Brussels";"EUR";"0,98";"0,98";"0,98";"0,98";"10/07/2013 15:00";"CET";"450";"441,00"
"MDW";"BE0974267966";"ALMDW";"NYSE Alternext Paris";"EUR";"8,00";"8,00";"8,00";"8,00";"30/09/2013 15:30";"CET";"50";"400,00"
"MDXHEALTH";"BE0003844611";"MDXH";"NYSE Euronext Brussels";"EUR";"2,96";"3,00";"2,95";"2,97";"01/11/2013 17:28";"CET";"25390";"75856,42"
"MECELEC";"FR0000061244";"MCLC";"NYSE Euronext Paris";"EUR";"2,70";"2,75";"2,70";"2,75";"01/11/2013 16:27";"CET";"1588";"4315,05"
"MECELEC BSA 1113";"FR0010957621";"MCLBS";"NYSE Euronext Paris";"EUR";"0,05";"0,05";"0,05";"0,05";"01/10/2013 17:00";"CET";"195";"9,75"
"MEDA A";"SE0000221723";"MEDAAs";"NYSE Arca Europe";"SEK";"66,30";"66,30";"66,30";"66,30";"26/09/2012 16:00";"CET";"211";"13989,30"
"MEDASYS";"FR0000052623";"MED";"NYSE Euronext Paris";"EUR";"0,74";"0,75";"0,73";"0,73";"01/11/2013 15:22";"CET";"8909";"6543,22"
"MEDASYS BS2";"FR0011162551";"MEDB2";"NYSE Euronext Paris";"EUR";"0,013";"0,026";"0,013";"0,026";"01/11/2013 17:05";"CET";"903";"18,19"
"MEDASYS BS3";"FR0011162577";"MEDB3";"NYSE Euronext Paris";"EUR";"0,032";"0,032";"0,032";"0,032";"31/10/2013 10:30";"CET";"1297";"41,51"
"MEDEA";"FR0000063323";"MEDE";"NYSE Euronext Paris";"EUR";"0,66";"0,66";"0,66";"0,66";"16/07/2013 11:30";"CET";"55";"36,30"
"MEDIA 6";"FR0000064404";"EDI";"NYSE Euronext Paris";"EUR";"4,20";"4,20";"4,20";"4,20";"01/11/2013 09:00";"CET";"1";"4,20"
"MEDIA CAPITAL";"PTGMC0AM0003";"MCP";"NYSE Euronext Lisbon";"EUR";"0,96";"0,96";"0,96";"0,96";"31/10/2013 10:30";"GMT";"1000";"960,00"
"MEDIANTECHNOLOGIES";"FR0011049824";"ALMDT";"NYSE Alternext Paris";"EUR";"8,54";"8,54";"8,54";"8,54";"01/11/2013 09:00";"CET";"1";"8,54"
"MEDIASET";"IT0001063210";"MSm";"NYSE Arca Europe";"EUR";"1,76";"1,805";"1,76";"1,805";"22/04/2013 14:46";"CET";"1266";"2263,73"
"MEDIASET ESPANA CO";"ES0152503035";"TL5e";"NYSE Arca Europe";"EUR";"5,48";"5,48";"5,48";"5,48";"05/08/2011 17:18";"CET";"138";"-"
"MEDICA";"FR0010372581";"MDCA";"NYSE Euronext Paris";"EUR";"18,95";"19,20";"18,93";"19,16";"01/11/2013 17:35";"CET";"45379";"862987,90"
"MEDICREA INTERNAT.";"FR0004178572";"ALMED";"NYSE Alternext Paris";"EUR";"8,94";"9,09";"8,91";"9,05";"01/11/2013 17:35";"CET";"2120";"18964,43"
"MEDIOBANCA";"IT0000062957";"MBm";"NYSE Arca Europe";"EUR";"3,96";"3,96";"3,96";"3,96";"04/04/2013 11:32";"CET";"1100";"4356,00"
"MEDIOCREDITO EUROP";"IT0004844848";"MLMCE";"Marché Libre Paris";"EUR";"4,30";"4,30";"4,30";"4,30";"28/11/2012 09:24";"CET";"100";"430,00"
"MEDIOLANUM";"IT0001279501";"MEDm";"NYSE Arca Europe";"EUR";"4,68";"4,68";"4,68";"4,68";"25/02/2013 14:17";"CET";"1166";"5456,88"
"MEDIVISION";"IL0010846314";"MEDV";"NYSE Euronext Brussels";"EUR";"0,04";"0,04";"0,04";"0,04";"08/08/2013 11:30";"CET";"720";"28,80"
"MEDTRONIC";"US5850551061";"MDTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MEETIC";"FR0004063097";"MEET";"NYSE Euronext Paris";"EUR";"18,64";"18,64";"18,64";"18,64";"01/11/2013 17:35";"CET";"1413";"26338,32"
"MEGGITT";"GB0005758098";"MGGTl";"NYSE Arca Europe";"GBX";"527,00";"527,00";"527,00";"527,00";"28/08/2013 15:42";"CET";"401";"211327,00"
"MELEXIS (D)";"BE0165385973";"MELE";"NYSE Euronext Brussels";"EUR";"23,97";"24,69";"23,76";"24,44";"01/11/2013 17:35";"CET";"21119";"512859,43"
"MELIA HOTELS INTL";"ES0176252718";"SOLe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MELROSE INDUSTRIES";"GB00B8L59D51";"MROl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"MEMSCAP REGPT";"FR0010298620";"MEMS";"NYSE Euronext Paris";"EUR";"1,44";"1,45";"1,36";"1,39";"01/11/2013 17:35";"CET";"56958";"80150,38"
"MENZIES(JOHN)";"GB0005790059";"MNZSl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"MERCANTILE IT";"GB0005794036";"MRCl";"NYSE Arca Europe";"GBX";"1273,00";"1273,00";"1273,00";"1273,00";"21/06/2013 14:23";"CET";"54";"68742,00"
"MERCHANTS TRUST";"GB0005800072";"MRCHl";"NYSE Arca Europe";"GBX";"501,00";"501,00";"501,00";"501,00";"14/08/2013 14:33";"CET";"200";"100200,00"
"MERCIALYS";"FR0010241638";"MERY";"NYSE Euronext Paris";"EUR";"15,885";"15,885";"15,75";"15,80";"01/11/2013 17:35";"CET";"28070";"444018,59"
"MERCK AND CO INC";"US58933Y1055";"MRK";"NYSE Euronext Paris";"EUR";"33,21";"33,21";"33,11";"33,18";"01/11/2013 15:49";"CET";"433";"14375,51"
"MERCK AND CO. NEW";"US58933Y1055";"MRKn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"MERCK KGAA";"DE0006599905";"MRKd";"NYSE Arca Europe";"EUR";"122,80";"123,00";"121,95";"122,10";"01/11/2013 17:24";"CET";"3313";"405538,85"
"MERSEN";"FR0000039620";"MRN";"NYSE Euronext Paris";"EUR";"26,93";"26,98";"26,55";"26,70";"01/11/2013 17:35";"CET";"23173";"618648,80"
"MERSEN BSAR JUI10";"FR0010902510";"MRNB1";"NYSE Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"METABOLIC EXPLORER";"FR0004177046";"METEX";"NYSE Euronext Paris";"EUR";"2,92";"3,03";"2,92";"3,03";"01/11/2013 17:39";"CET";"399893";"1193765,13"
"METALLIANCE";"FR0010492181";"MLETA";"Marché Libre Paris";"EUR";"4,01";"4,01";"4,01";"4,01";"31/07/2013 15:00";"CET";"65";"260,65"
"METHANOR";"FR0011217710";"ALMET";"NYSE Alternext Paris";"EUR";"8,10";"8,10";"8,10";"8,10";"31/10/2013 15:30";"CET";"700";"5670,00"
"METLIFE";"US59156R1086";"METn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"METRO";"DE0007257503";"MEOd";"NYSE Arca Europe";"EUR";"28,31";"28,31";"28,31";"28,31";"01/08/2013 16:20";"CET";"30";"849,30"
"METROPOLE TV";"FR0000053225";"MMT";"NYSE Euronext Paris";"EUR";"16,97";"17,05";"16,81";"16,99";"01/11/2013 17:35";"CET";"184026";"3122327,93"
"METSO";"FI0009007835";"MEO1Vh";"NYSE Arca Europe";"EUR";"32,87";"32,87";"32,87";"32,87";"21/02/2013 08:34";"CET";"70";"2300,90"
"MEUBLES DELIAS";"FR0004078186";"MLMED";"Marché Libre Paris";"EUR";"4,00";"4,00";"4,00";"4,00";"03/10/2013 15:00";"CET";"2";"8,00"
"MFI CONDOR";"BE6252013725";"MLMFI";"Marché Libre Paris";"EUR";"11,50";"11,50";"11,50";"11,50";"29/10/2013 15:00";"CET";"1070";"12305,00"
"MG INTERNATIONAL";"FR0010204453";"ALMGI";"NYSE Alternext Paris";"EUR";"1,00";"1,00";"1,00";"1,00";"01/11/2013 12:11";"CET";"500";"500,00"
"MGI COUTIER";"FR0000053027";"MGIC";"NYSE Euronext Paris";"EUR";"90,00";"90,80";"89,99";"90,80";"01/11/2013 17:35";"CET";"1583";"143404,30"
"MGI DIGITAL GRAPHI";"FR0010353888";"ALMDG";"NYSE Alternext Paris";"EUR";"20,43";"20,90";"20,43";"20,90";"01/11/2013 17:35";"CET";"2907";"59975,68"
"MICHAEL PAGE INTL";"GB0030232317";"MPIl";"NYSE Arca Europe";"GBX";"465,00";"465,00";"458,30";"458,30";"15/08/2013 13:54";"CET";"329";"151710,70"
"MICHELIN";"FR0000121261";"ML";"NYSE Euronext Paris";"EUR";"77,35";"77,54";"76,32";"76,60";"01/11/2013 17:37";"CET";"408361";"31395339,85"
"MICRO FOCUS INTL";"GB00B83XCK58";"MCROl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"MICRO FOCUS INTL";"GB00BCZM1F64";;"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"MICROBSAR12DEC16";"FR0010827345";"MUNBR";"NYSE Euronext Paris";"EUR";"0,131";"0,131";"0,131";"0,131";"21/10/2013 13:25";"CET";"45000";"5895,01"
